v8-version,6,7,288,46,-node.8,0
code-creation,Builtin,3,5847,0x2a127294ee0,835,CopyFastSmiOrObjectElements
code-creation,Builtin,3,5856,0x2a127295280,544,GrowFastDoubleElements
code-creation,Builtin,3,5865,0x2a1272954e0,500,GrowFastSmiOrObjectElements
code-creation,Builtin,3,5874,0x2a127295720,359,NewArgumentsElements
code-creation,Builtin,3,5882,0x2a1272958e0,452,DebugBreakTrampoline
code-creation,Builtin,3,5891,0x2a127295b00,122,FrameDropperTrampoline
code-creation,Builtin,3,5899,0x2a127295bc0,62,HandleDebuggerStatement
code-creation,Builtin,3,5908,0x2a127295c40,402,ToObject
code-creation,Builtin,3,5916,0x2a127295e20,151,ToBoolean
code-creation,Builtin,3,5923,0x2a127295f00,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,5932,0x2a127296060,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,5941,0x2a1272961c0,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,5950,0x2a127296300,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,5959,0x2a127296440,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,5968,0x2a127296580,95,StringToNumber
code-creation,Builtin,3,5976,0x2a127296620,103,ToName
code-creation,Builtin,3,5984,0x2a1272966e0,317,NonNumberToNumber
code-creation,Builtin,3,5992,0x2a127296860,333,NonNumberToNumeric
code-creation,Builtin,3,6000,0x2a127296a00,269,ToNumber
code-creation,Builtin,3,6008,0x2a127296b60,361,ToNumeric
code-creation,Builtin,3,6016,0x2a127296d20,219,NumberToString
code-creation,Builtin,3,6024,0x2a127296e40,303,ToString
code-creation,Builtin,3,6032,0x2a127296fc0,482,ToInteger
code-creation,Builtin,3,6039,0x2a127297200,498,ToInteger_TruncateMinusZero
code-creation,Builtin,3,6048,0x2a127297440,538,ToLength
code-creation,Builtin,3,6056,0x2a1272976a0,156,Typeof
code-creation,Builtin,3,6063,0x2a127297780,75,GetSuperConstructor
code-creation,Builtin,3,6072,0x2a127297820,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,6090,0x2a127297920,10108,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,6100,0x2a12729a0e0,2555,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,6109,0x2a12729ab20,40,KeyedLoadIC_Slow
code-creation,Builtin,3,6132,0x2a12729aba0,15840,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,6142,0x2a12729e9c0,44,KeyedStoreIC_Slow
code-creation,Builtin,3,6150,0x2a12729ea40,40,LoadGlobalIC_Slow
code-creation,Builtin,3,6158,0x2a12729eac0,203,LoadField
code-creation,Builtin,3,6166,0x2a12729ebe0,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,6175,0x2a12729ec80,40,LoadIC_Slow
code-creation,Builtin,3,6182,0x2a12729ed00,16,LoadIC_StringLength
code-creation,Builtin,3,6197,0x2a12729ed60,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,6206,0x2a12729edc0,3048,LoadIC_Uninitialized
code-creation,Builtin,3,6215,0x2a12729fa00,44,StoreGlobalIC_Slow
code-creation,Builtin,3,6229,0x2a12729fa80,6712,StoreIC_Uninitialized
code-creation,Builtin,3,6238,0x2a1272a1500,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,6247,0x2a1272a1580,1072,EnqueueMicrotask
code-creation,Builtin,3,6256,0x2a1272a1a00,1432,RunMicrotasks
code-creation,Builtin,3,6265,0x2a1272a1fe0,2456,HasProperty
code-creation,Builtin,3,6273,0x2a1272a29c0,1036,DeleteProperty
code-creation,Builtin,3,6281,0x2a1272a2e20,25,Abort
code-creation,Builtin,3,6288,0x2a1272a2e80,40,AbortJS
code-creation,Builtin,3,6296,0x2a1272a2f00,15,EmptyFunction
code-creation,Builtin,3,6304,0x2a1272a2f60,15,Illegal
code-creation,Builtin,3,6311,0x2a1272a2fc0,15,StrictPoisonPillThrower
code-creation,Builtin,3,6320,0x2a1272a3020,15,UnsupportedThrower
code-creation,Builtin,3,6328,0x2a1272a3080,21,ArrayConstructor
code-creation,Builtin,3,6336,0x2a1272a30e0,9,InternalArrayConstructor
code-creation,Builtin,3,6345,0x2a1272a3140,15,ArrayConcat
code-creation,Builtin,3,6353,0x2a1272a31a0,948,ArrayIncludesSmiOrObject
code-creation,Builtin,3,6361,0x2a1272a35a0,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,6370,0x2a1272a3660,180,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,6379,0x2a1272a3760,868,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,6388,0x2a1272a3b20,104,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,6396,0x2a1272a3be0,104,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,6405,0x2a1272a3ca0,15,ArrayPop
code-creation,Builtin,3,6412,0x2a1272a3d00,15,ArrayPush
code-creation,Builtin,3,6420,0x2a1272a3d60,15,ArrayShift
code-creation,Builtin,3,6428,0x2a1272a3dc0,15,ArraySplice
code-creation,Builtin,3,6436,0x2a1272a3e20,15,ArrayUnshift
code-creation,Builtin,3,6444,0x2a1272a3e80,1452,CloneFastJSArray
code-creation,Builtin,3,6453,0x2a1272a4480,1478,ExtractFastJSArray
code-creation,Builtin,3,6462,0x2a1272a4aa0,2884,ArrayForEachLoopContinuation
code-creation,Builtin,3,6471,0x2a1272a5640,123,ArrayForEachLoopEagerDeoptContinuation
code-creation,Builtin,3,6481,0x2a1272a5700,123,ArrayForEachLoopLazyDeoptContinuation
code-creation,Builtin,3,6491,0x2a1272a57c0,3048,ArrayEveryLoopContinuation
code-creation,Builtin,3,6500,0x2a1272a6400,123,ArrayEveryLoopEagerDeoptContinuation
code-creation,Builtin,3,6509,0x2a1272a64c0,455,ArrayEveryLoopLazyDeoptContinuation
code-creation,Builtin,3,6519,0x2a1272a66e0,3040,ArraySomeLoopContinuation
code-creation,Builtin,3,6528,0x2a1272a7300,123,ArraySomeLoopEagerDeoptContinuation
code-creation,Builtin,3,6537,0x2a1272a73c0,451,ArraySomeLoopLazyDeoptContinuation
code-creation,Builtin,3,6552,0x2a1272a75e0,5124,ArrayFilterLoopContinuation
code-creation,Builtin,3,6562,0x2a1272a8a40,123,ArrayFilterLoopEagerDeoptContinuation
code-creation,Builtin,3,6571,0x2a1272a8b00,770,ArrayFilterLoopLazyDeoptContinuation
code-creation,Builtin,3,6581,0x2a1272a8e60,2932,ArrayMapLoopContinuation
code-creation,Builtin,3,6590,0x2a1272a9a20,123,ArrayMapLoopEagerDeoptContinuation
code-creation,Builtin,3,6600,0x2a1272a9ae0,335,ArrayMapLoopLazyDeoptContinuation
code-creation,Builtin,3,6609,0x2a1272a9c80,2964,ArrayReduceLoopContinuation
code-creation,Builtin,3,6618,0x2a1272aa860,119,ArrayReducePreLoopEagerDeoptContinuation
code-creation,Builtin,3,6628,0x2a1272aa920,123,ArrayReduceLoopEagerDeoptContinuation
code-creation,Builtin,3,6637,0x2a1272aa9e0,123,ArrayReduceLoopLazyDeoptContinuation
code-creation,Builtin,3,6647,0x2a1272aaaa0,2956,ArrayReduceRightLoopContinuation
code-creation,Builtin,3,6656,0x2a1272ab680,135,ArrayReduceRightPreLoopEagerDeoptContinuation
code-creation,Builtin,3,6666,0x2a1272ab760,123,ArrayReduceRightLoopEagerDeoptContinuation
code-creation,Builtin,3,6676,0x2a1272ab820,123,ArrayReduceRightLoopLazyDeoptContinuation
code-creation,Builtin,3,6686,0x2a1272ab8e0,604,ArrayFindLoopContinuation
code-creation,Builtin,3,6703,0x2a1272abb80,123,ArrayFindLoopEagerDeoptContinuation
code-creation,Builtin,3,6713,0x2a1272abc40,123,ArrayFindLoopLazyDeoptContinuation
code-creation,Builtin,3,6729,0x2a1272abd00,271,ArrayFindLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,6740,0x2a1272abe60,596,ArrayFindIndexLoopContinuation
code-creation,Builtin,3,6749,0x2a1272ac100,131,ArrayFindIndexLoopEagerDeoptContinuation
code-creation,Builtin,3,6772,0x2a1272ac1e0,131,ArrayFindIndexLoopLazyDeoptContinuation
code-creation,Builtin,3,6782,0x2a1272ac2c0,275,ArrayFindIndexLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,6794,0x2a1272ac420,4052,FlattenIntoArray
code-creation,Builtin,3,6804,0x2a1272ad440,4100,FlatMapIntoArray
code-creation,Builtin,3,6812,0x2a1272ae4a0,15,ArrayBufferConstructor
code-creation,Builtin,3,6821,0x2a1272ae500,15,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,6831,0x2a1272ae560,15,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,6840,0x2a1272ae5c0,15,ArrayBufferIsView
code-creation,Builtin,3,6849,0x2a1272ae620,15,ArrayBufferPrototypeSlice
code-creation,Builtin,3,6858,0x2a1272ae680,15,BigIntConstructor
code-creation,Builtin,3,6869,0x2a1272ae6e0,15,BigIntAsUintN
code-creation,Builtin,3,6878,0x2a1272ae740,15,BigIntAsIntN
code-creation,Builtin,3,6894,0x2a1272ae7a0,15,BigIntPrototypeToLocaleString
code-creation,Builtin,3,6903,0x2a1272ae800,15,BigIntPrototypeToString
code-creation,Builtin,3,6912,0x2a1272ae860,15,BigIntPrototypeValueOf
code-creation,Builtin,3,6920,0x2a1272ae8c0,15,BooleanConstructor
code-creation,Builtin,3,6928,0x2a1272ae920,15,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,6937,0x2a1272ae980,15,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,6946,0x2a1272ae9e0,15,CallSitePrototypeGetFileName
code-creation,Builtin,3,6955,0x2a1272aea40,15,CallSitePrototypeGetFunction
code-creation,Builtin,3,6964,0x2a1272aeaa0,15,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,6973,0x2a1272aeb00,15,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,6982,0x2a1272aeb60,15,CallSitePrototypeGetMethodName
code-creation,Builtin,3,6991,0x2a1272aebc0,15,CallSitePrototypeGetPosition
code-creation,Builtin,3,6999,0x2a1272aec20,15,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,7009,0x2a1272aec80,15,CallSitePrototypeGetThis
code-creation,Builtin,3,7017,0x2a1272aece0,15,CallSitePrototypeGetTypeName
code-creation,Builtin,3,7026,0x2a1272aed40,15,CallSitePrototypeIsConstructor
code-creation,Builtin,3,7035,0x2a1272aeda0,15,CallSitePrototypeIsEval
code-creation,Builtin,3,7043,0x2a1272aee00,15,CallSitePrototypeIsNative
code-creation,Builtin,3,7052,0x2a1272aee60,15,CallSitePrototypeIsToplevel
code-creation,Builtin,3,7061,0x2a1272aeec0,15,CallSitePrototypeToString
code-creation,Builtin,3,7069,0x2a1272aef20,15,ConsoleDebug
code-creation,Builtin,3,7077,0x2a1272aef80,15,ConsoleError
code-creation,Builtin,3,7085,0x2a1272aefe0,15,ConsoleInfo
code-creation,Builtin,3,7093,0x2a1272af040,15,ConsoleLog
code-creation,Builtin,3,7100,0x2a1272af0a0,15,ConsoleWarn
code-creation,Builtin,3,7108,0x2a1272af100,15,ConsoleDir
code-creation,Builtin,3,7116,0x2a1272af160,15,ConsoleDirXml
code-creation,Builtin,3,7124,0x2a1272af1c0,15,ConsoleTable
code-creation,Builtin,3,7132,0x2a1272af220,15,ConsoleTrace
code-creation,Builtin,3,7139,0x2a1272af280,15,ConsoleGroup
code-creation,Builtin,3,7147,0x2a1272af2e0,15,ConsoleGroupCollapsed
